SKU,Date,Quantity,Expiration.Date
1065315,2016-09-03,1934,2018-02-11
1065315,2016-09-03,1855,2018-02-12
1065315,2016-09-03,320,2018-02-13
1065316,2016-09-03,452,2018-02-11
1065316,2016-09-03,901,2018-02-12
1065316,2016-09-03,1998,2018-02-13
1065316,2016-09-03,1092,2018-02-14
1065316,2016-09-03,226,2018-02-16
1065316,2016-09-03,907,2018-02-17
1065317,2016-09-03,738,2018-02-03
1065317,2016-09-03,1083,2018-02-04
1065318,2016-09-03,342,2018-01-06
1065318,2016-09-03,211,2018-02-04
1065318,2016-09-03,875,2018-02-05
1065318,2016-09-03,1081,2018-02-06
10332315,2016-09-03,1,2017-04-20
10333064,2016-09-03,42,2017-04-06
10333759,2016-09-03,2,2017-03-13
10333759,2016-09-03,417,2017-04-02
10337661,2016-09-03,1,2018-01-05
10337666,2016-09-03,3,2017-12-21
10337667,2016-09-03,5,2017-12-20
10338963,2016-09-03,1,2018-01-01
10338964,2016-09-03,2,2018-01-01
10338965,2016-09-03,1,2018-01-01
10338966,2016-09-03,1,2018-01-17
10338967,2016-09-03,15,2018-01-02
10339070,2016-09-03,7,2017-12-05
10339071,2016-09-03,1,2017-12-05
10341116,2016-09-03,802,2018-01-19
10341116,2016-09-03,589,2018-02-01
10341116,2016-09-03,906,2018-02-02
10341311,2016-09-03,564,2017-10-20
10341311,2016-09-03,792,2017-10-30
10341429,2016-09-03,790,2018-01-19
10341429,2016-09-03,317,2018-01-20
10341429,2016-09-03,469,2018-01-29
10341429,2016-09-03,1027,2018-01-30
10341429,2016-09-03,156,2018-02-01
10341430,2016-09-03,263,2018-01-03
10341430,2016-09-03,1245,2018-01-20
10341430,2016-09-03,224,2018-02-01
10341430,2016-09-03,1587,2018-02-02
10343521,2016-09-03,1,2018-01-15
10343543,2016-09-03,1106,2018-01-06
10343543,2016-09-03,505,2018-02-06
10343543,2016-09-03,482,2018-02-24
10343544,2016-09-03,28,2018-01-11
10343544,2016-09-03,833,2018-01-26
10343544,2016-09-03,664.5,2018-02-18
10351199,2016-09-03,6,2017-08-18
10351200,2016-09-03,4,2017-08-12
10351200,2016-09-03,3,2017-09-09
10354033,2016-09-03,1,2017-12-15
10354037,2016-09-03,4,2017-12-22
112991,2016-09-05,282,2017-02-24
112991,2016-09-05,4626,2017-03-02
112991,2016-09-05,255,2017-03-03
112991,2016-09-05,509,2017-03-08
