"","SKU","Description","Date","Quantity","Expiration.Date","Days.To.Expiry","Status"
"27653",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-10-08,934,2017-05-03,207,"Fresh"
"27654",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-10-08,3400,2017-05-05,209,"Fresh"
"27693",1053009,"Anchor FCMP 24x150g",2016-10-08,160,2017-10-30,387,"Fresh"
"27694",1053009,"Anchor FCMP 24x150g",2016-10-08,272,2017-12-22,440,"Fresh"
"27700",1053010,"ANCHOR FCMP 24 X 350G",2016-10-08,295,2017-11-28,416,"Fresh"
"27702",1053010,"ANCHOR FCMP 24 X 350G",2016-10-08,321,2017-12-14,432,"Fresh"
"27703",1053010,"ANCHOR FCMP 24 X 350G",2016-10-08,710.958333333333,2017-12-28,446,"Fresh"
"27710",1053011,"ANCHOR FCMP 12 X700G",2016-10-08,59,2017-10-30,387,"Fresh"
"27711",1053011,"ANCHOR FCMP 12 X700G",2016-10-08,139,2017-11-19,407,"Fresh"
"27712",1053011,"ANCHOR FCMP 12 X700G",2016-10-08,1152,2017-12-13,431,"Fresh"
"27713",1053011,"ANCHOR FCMP 12 X700G",2016-10-08,466,2017-12-22,440,"Fresh"
"27722",1057371,"ANCHOR FCMP 6X1.8kg (Phillipines)",2016-10-08,12,2019-04-06,910,"Fresh"
"27723",1057371,"ANCHOR FCMP 6X1.8kg (Phillipines)",2016-10-08,1483,2019-07-25,1020,"Fresh"
"27745",1063485,"ANMUM MATERNA PLAIN 24X180G (LEDA)",2016-10-08,113,2018-02-25,505,"Fresh"
"27746",1063485,"ANMUM MATERNA PLAIN 24X180G (LEDA)",2016-10-08,1090,2018-02-28,508,"Fresh"
"27747",1063485,"ANMUM MATERNA PLAIN 24X180G (LEDA)",2016-10-08,878,2018-03-22,530,"Fresh"
"27756",1063486,"ANMUM MAT CHOC 24x180G LEDA",2016-10-08,2,2018-02-24,504,"Fresh"
"27757",1063486,"ANMUM MAT CHOC 24x180G LEDA",2016-10-08,146,2018-03-14,522,"Fresh"
"27758",1063486,"ANMUM MAT CHOC 24x180G LEDA",2016-10-08,855,2018-03-15,523,"Fresh"
"27759",1063486,"ANMUM MAT CHOC 24x180G LEDA",2016-10-08,1078.375,2018-03-23,531,"Fresh"
"27769",1063488,"ANMUM MATERNA PLAIN 24X375G (LEDA)",2016-10-08,135,2018-02-25,505,"Fresh"
"27770",1063488,"ANMUM MATERNA PLAIN 24X375G (LEDA)",2016-10-08,1369,2018-02-27,507,"Fresh"
"27771",1063488,"ANMUM MATERNA PLAIN 24X375G (LEDA)",2016-10-08,107,2018-02-28,508,"Fresh"
"27780",1063491,"ANMUM CHOC 24X375G",2016-10-08,7,2018-02-24,504,"Fresh"
"27781",1063491,"ANMUM CHOC 24X375G",2016-10-08,873,2018-03-15,523,"Fresh"
"27782",1063491,"ANMUM CHOC 24X375G",2016-10-08,926.791666666667,2018-03-23,531,"Fresh"
"27790",1063581,"ANMUM CHOCO 80X46G",2016-10-08,244.075,2017-08-23,319,"Fresh"
"27802",1063645,"ANMUM MATERNA 24X375G",2016-10-08,15,2018-02-25,505,"Fresh"
"27804",1063647,"ANMUM MATERNA CHOCO 24X375G",2016-10-08,12,2017-06-13,248,"Fresh"
"27809",1064002,"ANMUM VANILLA MANGO 24X180G",2016-10-08,482,2018-01-29,478,"Fresh"
"27814",1064003,"ANMUM VANILLA MANGO 24X375G",2016-10-08,155,2018-01-29,478,"Fresh"
"27815",1064003,"ANMUM VANILLA MANGO 24X375G",2016-10-08,421,2018-03-22,530,"Fresh"
"27819",1064023,"ANMUM VANILLA MANGO 80X37.5 G",2016-10-08,315.925,2017-09-05,332,"Fresh"
"27822",1064678,"ANCHOR ADULT 36X180G",2016-10-08,200,2017-09-17,344,"Fresh"
"27826",1064687,"ANLENE CONCENTRAT VNL-PH 48X110ML NEW",2016-10-08,4,2017-04-25,199,"Fresh"
"27827",1064687,"ANLENE CONCENTRAT VNL-PH 48X110ML NEW",2016-10-08,2686,2017-04-30,204,"Fresh"
"27831",1064727,"ANLENE CONCENTRATCHOC-PH 48X110ML NEW",2016-10-08,2444,2017-05-01,205,"Fresh"
"27833",1064935,"ANCHOR FAMILY MILK CHOC 32X150G",2016-10-08,1,2017-10-22,379,"Fresh"
"27834",1064935,"ANCHOR FAMILY MILK CHOC 32X150G",2016-10-08,766,2018-01-13,462,"Fresh"
"27842",1064936,"ANCHOR FAMILY MILK CHOC 12X700G",2016-10-08,1,2018-02-06,486,"Fresh"
"27843",1064936,"ANCHOR FAMILY MILK CHOC 12X700G",2016-10-08,163,2018-02-28,508,"Fresh"
"27844",1064936,"ANCHOR FAMILY MILK CHOC 12X700G",2016-10-08,1025,2018-03-01,509,"Fresh"
"27859",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-08,312,2018-02-03,483,"Fresh"
"27860",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-08,1,2018-02-13,493,"Fresh"
"27862",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-08,1,2018-02-15,495,"Fresh"
"27864",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-08,902,2018-02-17,497,"Fresh"
"27865",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-08,1590,2018-02-18,498,"Fresh"
"27866",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-08,1720,2018-03-06,514,"Fresh"
"27867",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-08,3067,2018-03-07,515,"Fresh"
"27868",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-08,659,2018-03-08,516,"Fresh"
"27902",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-10-08,1,2018-02-22,502,"Fresh"
"27903",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-10-08,1587,2018-02-23,503,"Fresh"
"27904",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-10-08,1535,2018-03-05,513,"Fresh"
"27905",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-10-08,409,2018-03-20,528,"Fresh"
"27906",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-10-08,516,2018-03-21,529,"Fresh"
"27907",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-10-08,304,2018-03-28,536,"Fresh"
"27908",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-10-08,1747,2018-03-29,537,"Fresh"
"27935",1064986,"ANLENE GOLD CHOCOLATE 24X385G",2016-10-08,999,2018-02-05,485,"Fresh"
"27936",1064986,"ANLENE GOLD CHOCOLATE 24X385G",2016-10-08,100,2018-02-06,486,"Fresh"
"27937",1064986,"ANLENE GOLD CHOCOLATE 24X385G",2016-10-08,1576,2018-02-28,508,"Fresh"
"27950",1065037,"ANCHOR 6X2.5KG(PH) CAN",2016-10-08,1123,2019-08-05,1031,"Fresh"
"27951",1065037,"ANCHOR 6X2.5KG(PH) CAN",2016-10-08,619,2019-08-10,1036,"Fresh"
"27959",1065201,"ANMUM MATERNA PLAIN 12X800G",2016-10-08,1,2018-02-25,505,"Fresh"
"27960",1065201,"ANMUM MATERNA PLAIN 12X800G",2016-10-08,1276,2018-02-28,508,"Fresh"
"27969",1065202,"ANMUM MATERNA CHOCO 12X800G",2016-10-08,77,2018-03-14,522,"Fresh"
"27970",1065202,"ANMUM MATERNA CHOCO 12X800G",2016-10-08,970,2018-03-15,523,"Fresh"
"27971",1065202,"ANMUM MATERNA CHOCO 12X800G",2016-10-08,569,2018-03-23,531,"Fresh"
"27980",1065315,"ANLENE GOLD 12X990G SUP",2016-10-08,1,2018-02-10,490,"Fresh"
"27982",1065315,"ANLENE GOLD 12X990G SUP",2016-10-08,1,2018-02-12,492,"Fresh"
"27984",1065315,"ANLENE GOLD 12X990G SUP",2016-10-08,1236,2018-03-08,516,"Fresh"
"27985",1065315,"ANLENE GOLD 12X990G SUP",2016-10-08,968,2018-03-09,517,"Fresh"
"27986",1065315,"ANLENE GOLD 12X990G SUP",2016-10-08,1856,2018-03-21,529,"Fresh"
"27987",1065315,"ANLENE GOLD 12X990G SUP",2016-10-08,568,2018-03-22,530,"Fresh"
"27988",1065315,"ANLENE GOLD 12X990G SUP",2016-10-08,718,2018-03-27,535,"Fresh"
"27989",1065315,"ANLENE GOLD 12X990G SUP",2016-10-08,1624,2018-03-28,536,"Fresh"
"28035",1065316,"ANLENE GOLD 24X180G SUP",2016-10-08,464,2018-02-26,506,"Fresh"
"28036",1065316,"ANLENE GOLD 24X180G SUP",2016-10-08,1764,2018-03-05,513,"Fresh"
"28037",1065316,"ANLENE GOLD 24X180G SUP",2016-10-08,1117,2018-03-06,514,"Fresh"
"28038",1065316,"ANLENE GOLD 24X180G SUP",2016-10-08,686,2018-03-07,515,"Fresh"
"28039",1065316,"ANLENE GOLD 24X180G SUP",2016-10-08,887,2018-03-08,516,"Fresh"
"28040",1065316,"ANLENE GOLD 24X180G SUP",2016-10-08,1550,2018-03-20,528,"Fresh"
"28041",1065316,"ANLENE GOLD 24X180G SUP",2016-10-08,437,2018-03-28,536,"Fresh"
"28042",1065316,"ANLENE GOLD 24X180G SUP",2016-10-08,1555.75,2018-03-29,537,"Fresh"
"28085",1065317,"ANLENE GOLD CHOC 12X980G SUP",2016-10-08,378,2018-02-04,484,"Fresh"
"28086",1065317,"ANLENE GOLD CHOC 12X980G SUP",2016-10-08,1587,2018-02-28,508,"Fresh"
"28087",1065317,"ANLENE GOLD CHOC 12X980G SUP",2016-10-08,460,2018-03-12,520,"Fresh"
"28105",1065318,"ANLENE GOLD CHOC 24X175G SUP",2016-10-08,625,2018-02-28,508,"Fresh"
"28106",1065318,"ANLENE GOLD CHOC 24X175G SUP",2016-10-08,2169,2018-03-13,521,"Fresh"
"28119",10332315,"ANC FAMILY MILK 12X655G",2016-10-08,1,2017-04-20,194,"Fresh"
"28121",10333064,"ANC FAMILY MILK 24X300G",2016-10-08,42,2017-04-06,180,"Fresh"
"28130",10333759,"ANC UHT FRESH 1L AT P70 SRP",2016-10-08,0.666666666666667,2017-04-03,177,"Fresh"
"28131",10333759,"ANC UHT FRESH 1L AT P70 SRP",2016-10-08,5,2017-04-04,178,"Fresh"
"28133",10333759,"ANC UHT FRESH 1L AT P70 SRP",2016-10-08,475,2017-04-10,184,"Fresh"
"28180",10341116,"ANC FAMILY MILK 24X300G+35G",2016-10-08,522,2018-03-11,519,"Fresh"
"28181",10341116,"ANC FAMILY MILK 24X300G+35G",2016-10-08,1777,2018-03-12,520,"Fresh"
"28192",10341311,"ANC FAMILY MILK 32X140G+10G",2016-10-08,366,2017-10-30,387,"Fresh"
"28193",10341311,"ANC FAMILY MILK 32X140G+10G",2016-10-08,986,2017-12-09,427,"Fresh"
"28203",10341429,"ANC FAMILY MILK 12X900G+100G",2016-10-08,258,2018-01-30,479,"Fresh"
"28204",10341429,"ANC FAMILY MILK 12X900G+100G",2016-10-08,156,2018-02-01,481,"Fresh"
"28205",10341429,"ANC FAMILY MILK 12X900G+100G",2016-10-08,555,2018-03-09,517,"Fresh"
"28206",10341429,"ANC FAMILY MILK 12X900G+100G",2016-10-08,550,2018-03-10,518,"Fresh"
"28220",10341430,"ANC FAMILY MILK 12X655G+45G",2016-10-08,100,2018-02-02,482,"Fresh"
"28221",10341430,"ANC FAMILY MILK 12X655G+45G",2016-10-08,1924,2018-03-10,518,"Fresh"
"28222",10341430,"ANC FAMILY MILK 12X655G+45G",2016-10-08,909,2018-03-11,519,"Fresh"
"28247",10343543,"ANL GOLD CHOC 24X300G",2016-10-08,1,2018-02-06,486,"Fresh"
"28248",10343543,"ANL GOLD CHOC 24X300G",2016-10-08,191,2018-02-24,504,"Fresh"
"28249",10343543,"ANL GOLD CHOC 24X300G",2016-10-08,501,2018-03-12,520,"Fresh"
"28250",10343543,"ANL GOLD CHOC 24X300G",2016-10-08,506,2018-03-13,521,"Fresh"
"28273",10343544,"ANL GOLD PLAIN 24X300G",2016-10-08,0.875,2018-02-23,503,"Fresh"
"28275",10343544,"ANL GOLD PLAIN 24X300G",2016-10-08,405,2018-03-06,514,"Fresh"
"28276",10343544,"ANL GOLD PLAIN 24X300G",2016-10-08,1598,2018-03-20,528,"Fresh"
"28277",10343544,"ANL GOLD PLAIN 24X300G",2016-10-08,262,2018-03-29,537,"Fresh"
"28278",10343544,"ANL GOLD PLAIN 24X300G",2016-10-08,611,2018-03-30,538,"Fresh"
"28298",10351199,"ANM CHOC 4X3 800G SUYSING",2016-10-08,4,2017-08-18,314,"Fresh"
"28299",10351199,"ANM CHOC 4X3 800G SUYSING",2016-10-08,6,2018-01-16,465,"Fresh"
"28300",10351199,"ANM CHOC 4X3 800G SUYSING",2016-10-08,2,2018-03-14,522,"Fresh"
"28304",10351200,"ANM PLAIN 4X3 800G SUYSING",2016-10-08,1,2017-08-12,308,"Fresh"
"28305",10351200,"ANM PLAIN 4X3 800G SUYSING",2016-10-08,3,2017-09-09,336,"Fresh"
"28306",10351200,"ANM PLAIN 4X3 800G SUYSING",2016-10-08,4,2018-01-17,466,"Fresh"
"28307",10351200,"ANM PLAIN 4X3 800G SUYSING",2016-10-08,2,2018-02-28,508,"Fresh"
"28311",10354033,"ANM PLAIN 6X4X180G SUYSING",2016-10-08,7,2018-02-25,505,"Fresh"
"28316",10354037,"ANM CHOC 6X4X180G SUYSING",2016-10-08,1,2018-01-28,477,"Fresh"
"28317",10354037,"ANM CHOC 6X4X180G SUYSING",2016-10-08,10,2018-02-24,504,"Fresh"
"28487",112991,"ANCHOR UHT LITE 12X1L NEW",2016-10-10,49,2017-03-03,144,"Fresh"
"28488",112991,"ANCHOR UHT LITE 12X1L NEW",2016-10-10,419,2017-03-08,149,"Fresh"
"28489",112991,"ANCHOR UHT LITE 12X1L NEW",2016-10-10,1661,2017-03-23,164,"Fresh"
"28490",112991,"ANCHOR UHT LITE 12X1L NEW",2016-10-10,1600,2017-04-12,184,"Fresh"
"28491",112991,"ANCHOR UHT LITE 12X1L NEW",2016-10-10,99,2017-04-18,190,"Fresh"
"28513",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-10-10,524.833333333333,2017-04-10,182,"Fresh"
"28514",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-10-10,4329,2017-04-16,188,"Fresh"
"28515",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-10-10,764,2017-04-20,192,"Fresh"
"28516",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-10-10,934,2017-05-03,205,"Fresh"
"28517",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-10-10,3400,2017-05-05,207,"Fresh"
"28556",1053009,"Anchor FCMP 24x150g",2016-10-10,160,2017-10-30,385,"Fresh"
"28557",1053009,"Anchor FCMP 24x150g",2016-10-10,272,2017-12-22,438,"Fresh"
"28563",1053010,"ANCHOR FCMP 24 X 350G",2016-10-10,295,2017-11-28,414,"Fresh"
"28565",1053010,"ANCHOR FCMP 24 X 350G",2016-10-10,321,2017-12-14,430,"Fresh"
"28566",1053010,"ANCHOR FCMP 24 X 350G",2016-10-10,710.958333333333,2017-12-28,444,"Fresh"
"28573",1053011,"ANCHOR FCMP 12 X700G",2016-10-10,59,2017-10-30,385,"Fresh"
"28574",1053011,"ANCHOR FCMP 12 X700G",2016-10-10,139,2017-11-19,405,"Fresh"
"28575",1053011,"ANCHOR FCMP 12 X700G",2016-10-10,1152,2017-12-13,429,"Fresh"
"28576",1053011,"ANCHOR FCMP 12 X700G",2016-10-10,466,2017-12-22,438,"Fresh"
"28585",1057371,"ANCHOR FCMP 6X1.8kg (Phillipines)",2016-10-10,12,2019-04-06,908,"Fresh"
"28586",1057371,"ANCHOR FCMP 6X1.8kg (Phillipines)",2016-10-10,1483,2019-07-25,1018,"Fresh"
"28608",1063485,"ANMUM MATERNA PLAIN 24X180G (LEDA)",2016-10-10,113,2018-02-25,503,"Fresh"
"28609",1063485,"ANMUM MATERNA PLAIN 24X180G (LEDA)",2016-10-10,1090,2018-02-28,506,"Fresh"
"28610",1063485,"ANMUM MATERNA PLAIN 24X180G (LEDA)",2016-10-10,878,2018-03-22,528,"Fresh"
"28619",1063486,"ANMUM MAT CHOC 24x180G LEDA",2016-10-10,2,2018-02-24,502,"Fresh"
"28620",1063486,"ANMUM MAT CHOC 24x180G LEDA",2016-10-10,146,2018-03-14,520,"Fresh"
"28621",1063486,"ANMUM MAT CHOC 24x180G LEDA",2016-10-10,855,2018-03-15,521,"Fresh"
"28622",1063486,"ANMUM MAT CHOC 24x180G LEDA",2016-10-10,1078.375,2018-03-23,529,"Fresh"
"28632",1063488,"ANMUM MATERNA PLAIN 24X375G (LEDA)",2016-10-10,135,2018-02-25,503,"Fresh"
"28633",1063488,"ANMUM MATERNA PLAIN 24X375G (LEDA)",2016-10-10,1369,2018-02-27,505,"Fresh"
"28634",1063488,"ANMUM MATERNA PLAIN 24X375G (LEDA)",2016-10-10,107,2018-02-28,506,"Fresh"
"28643",1063491,"ANMUM CHOC 24X375G",2016-10-10,7,2018-02-24,502,"Fresh"
"28644",1063491,"ANMUM CHOC 24X375G",2016-10-10,873,2018-03-15,521,"Fresh"
"28645",1063491,"ANMUM CHOC 24X375G",2016-10-10,926.791666666667,2018-03-23,529,"Fresh"
"28653",1063581,"ANMUM CHOCO 80X46G",2016-10-10,244.075,2017-08-23,317,"Fresh"
"28665",1063645,"ANMUM MATERNA 24X375G",2016-10-10,15,2018-02-25,503,"Fresh"
"28667",1063647,"ANMUM MATERNA CHOCO 24X375G",2016-10-10,12,2017-06-13,246,"Fresh"
"28672",1064002,"ANMUM VANILLA MANGO 24X180G",2016-10-10,482,2018-01-29,476,"Fresh"
"28677",1064003,"ANMUM VANILLA MANGO 24X375G",2016-10-10,155,2018-01-29,476,"Fresh"
"28678",1064003,"ANMUM VANILLA MANGO 24X375G",2016-10-10,421,2018-03-22,528,"Fresh"
"28682",1064023,"ANMUM VANILLA MANGO 80X37.5 G",2016-10-10,315.925,2017-09-05,330,"Fresh"
"28685",1064678,"ANCHOR ADULT 36X180G",2016-10-10,200,2017-09-17,342,"Fresh"
"28689",1064687,"ANLENE CONCENTRAT VNL-PH 48X110ML NEW",2016-10-10,4,2017-04-25,197,"Fresh"
"28690",1064687,"ANLENE CONCENTRAT VNL-PH 48X110ML NEW",2016-10-10,2686,2017-04-30,202,"Fresh"
"28694",1064727,"ANLENE CONCENTRATCHOC-PH 48X110ML NEW",2016-10-10,2444,2017-05-01,203,"Fresh"
"28696",1064935,"ANCHOR FAMILY MILK CHOC 32X150G",2016-10-10,1,2017-10-22,377,"Fresh"
"28697",1064935,"ANCHOR FAMILY MILK CHOC 32X150G",2016-10-10,766,2018-01-13,460,"Fresh"
"28705",1064936,"ANCHOR FAMILY MILK CHOC 12X700G",2016-10-10,1,2018-02-06,484,"Fresh"
"28706",1064936,"ANCHOR FAMILY MILK CHOC 12X700G",2016-10-10,163,2018-02-28,506,"Fresh"
"28707",1064936,"ANCHOR FAMILY MILK CHOC 12X700G",2016-10-10,1025,2018-03-01,507,"Fresh"
"28722",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-10,312,2018-02-03,481,"Fresh"
"28723",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-10,1,2018-02-13,491,"Fresh"
"28725",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-10,1,2018-02-15,493,"Fresh"
"28727",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-10,902,2018-02-17,495,"Fresh"
"28728",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-10,1590,2018-02-18,496,"Fresh"
"28729",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-10,1720,2018-03-06,512,"Fresh"
"28730",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-10,3067,2018-03-07,513,"Fresh"
"28731",1064975,"ANLENE GOLD REFORM 12X600G",2016-10-10,659,2018-03-08,514,"Fresh"
"28765",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-10-10,1,2018-02-22,500,"Fresh"
"28766",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-10-10,1587,2018-02-23,501,"Fresh"
"28767",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-10-10,1535,2018-03-05,511,"Fresh"
"28768",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-10-10,409,2018-03-20,526,"Fresh"
"28769",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-10-10,516,2018-03-21,527,"Fresh"
"28770",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-10-10,304,2018-03-28,534,"Fresh"
"28771",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-10-10,1747,2018-03-29,535,"Fresh"
"28798",1064986,"ANLENE GOLD CHOCOLATE 24X385G",2016-10-10,999,2018-02-05,483,"Fresh"
"28799",1064986,"ANLENE GOLD CHOCOLATE 24X385G",2016-10-10,100,2018-02-06,484,"Fresh"
"28800",1064986,"ANLENE GOLD CHOCOLATE 24X385G",2016-10-10,1576,2018-02-28,506,"Fresh"
"28813",1065037,"ANCHOR 6X2.5KG(PH) CAN",2016-10-10,1123,2019-08-05,1029,"Fresh"
"28814",1065037,"ANCHOR 6X2.5KG(PH) CAN",2016-10-10,619,2019-08-10,1034,"Fresh"
"28822",1065201,"ANMUM MATERNA PLAIN 12X800G",2016-10-10,1,2018-02-25,503,"Fresh"
"28823",1065201,"ANMUM MATERNA PLAIN 12X800G",2016-10-10,1276,2018-02-28,506,"Fresh"
"28832",1065202,"ANMUM MATERNA CHOCO 12X800G",2016-10-10,77,2018-03-14,520,"Fresh"
"28833",1065202,"ANMUM MATERNA CHOCO 12X800G",2016-10-10,970,2018-03-15,521,"Fresh"
"28834",1065202,"ANMUM MATERNA CHOCO 12X800G",2016-10-10,569,2018-03-23,529,"Fresh"
"28843",1065315,"ANLENE GOLD 12X990G SUP",2016-10-10,1,2018-02-10,488,"Fresh"
"28845",1065315,"ANLENE GOLD 12X990G SUP",2016-10-10,1,2018-02-12,490,"Fresh"
"28847",1065315,"ANLENE GOLD 12X990G SUP",2016-10-10,1236,2018-03-08,514,"Fresh"
"28848",1065315,"ANLENE GOLD 12X990G SUP",2016-10-10,968,2018-03-09,515,"Fresh"
"28849",1065315,"ANLENE GOLD 12X990G SUP",2016-10-10,1856,2018-03-21,527,"Fresh"
"28850",1065315,"ANLENE GOLD 12X990G SUP",2016-10-10,568,2018-03-22,528,"Fresh"
"28851",1065315,"ANLENE GOLD 12X990G SUP",2016-10-10,718,2018-03-27,533,"Fresh"
"28852",1065315,"ANLENE GOLD 12X990G SUP",2016-10-10,1624,2018-03-28,534,"Fresh"
"28898",1065316,"ANLENE GOLD 24X180G SUP",2016-10-10,464,2018-02-26,504,"Fresh"
"28899",1065316,"ANLENE GOLD 24X180G SUP",2016-10-10,1764,2018-03-05,511,"Fresh"
"28900",1065316,"ANLENE GOLD 24X180G SUP",2016-10-10,1117,2018-03-06,512,"Fresh"
"28901",1065316,"ANLENE GOLD 24X180G SUP",2016-10-10,686,2018-03-07,513,"Fresh"
"28902",1065316,"ANLENE GOLD 24X180G SUP",2016-10-10,887,2018-03-08,514,"Fresh"
"28903",1065316,"ANLENE GOLD 24X180G SUP",2016-10-10,1550,2018-03-20,526,"Fresh"
"28904",1065316,"ANLENE GOLD 24X180G SUP",2016-10-10,437,2018-03-28,534,"Fresh"
"28905",1065316,"ANLENE GOLD 24X180G SUP",2016-10-10,1555.75,2018-03-29,535,"Fresh"
"28948",1065317,"ANLENE GOLD CHOC 12X980G SUP",2016-10-10,378,2018-02-04,482,"Fresh"
"28949",1065317,"ANLENE GOLD CHOC 12X980G SUP",2016-10-10,1587,2018-02-28,506,"Fresh"
"28950",1065317,"ANLENE GOLD CHOC 12X980G SUP",2016-10-10,460,2018-03-12,518,"Fresh"
"28968",1065318,"ANLENE GOLD CHOC 24X175G SUP",2016-10-10,625,2018-02-28,506,"Fresh"
"28969",1065318,"ANLENE GOLD CHOC 24X175G SUP",2016-10-10,2169,2018-03-13,519,"Fresh"
"28982",10332315,"ANC FAMILY MILK 12X655G",2016-10-10,1,2017-04-20,192,"Fresh"
"28984",10333064,"ANC FAMILY MILK 24X300G",2016-10-10,42,2017-04-06,178,"Fresh"
"28993",10333759,"ANC UHT FRESH 1L AT P70 SRP",2016-10-10,0.666666666666667,2017-04-03,175,"Fresh"
"28994",10333759,"ANC UHT FRESH 1L AT P70 SRP",2016-10-10,5,2017-04-04,176,"Fresh"
"28996",10333759,"ANC UHT FRESH 1L AT P70 SRP",2016-10-10,475,2017-04-10,182,"Fresh"
"29043",10341116,"ANC FAMILY MILK 24X300G+35G",2016-10-10,522,2018-03-11,517,"Fresh"
"29044",10341116,"ANC FAMILY MILK 24X300G+35G",2016-10-10,1777,2018-03-12,518,"Fresh"
"29055",10341311,"ANC FAMILY MILK 32X140G+10G",2016-10-10,366,2017-10-30,385,"Fresh"
"29056",10341311,"ANC FAMILY MILK 32X140G+10G",2016-10-10,986,2017-12-09,425,"Fresh"
"29066",10341429,"ANC FAMILY MILK 12X900G+100G",2016-10-10,258,2018-01-30,477,"Fresh"
"29067",10341429,"ANC FAMILY MILK 12X900G+100G",2016-10-10,156,2018-02-01,479,"Fresh"
"29068",10341429,"ANC FAMILY MILK 12X900G+100G",2016-10-10,555,2018-03-09,515,"Fresh"
"29069",10341429,"ANC FAMILY MILK 12X900G+100G",2016-10-10,550,2018-03-10,516,"Fresh"
"29083",10341430,"ANC FAMILY MILK 12X655G+45G",2016-10-10,100,2018-02-02,480,"Fresh"
"29084",10341430,"ANC FAMILY MILK 12X655G+45G",2016-10-10,1924,2018-03-10,516,"Fresh"
"29085",10341430,"ANC FAMILY MILK 12X655G+45G",2016-10-10,909,2018-03-11,517,"Fresh"
"29110",10343543,"ANL GOLD CHOC 24X300G",2016-10-10,1,2018-02-06,484,"Fresh"
"29111",10343543,"ANL GOLD CHOC 24X300G",2016-10-10,191,2018-02-24,502,"Fresh"
"29112",10343543,"ANL GOLD CHOC 24X300G",2016-10-10,501,2018-03-12,518,"Fresh"
"29113",10343543,"ANL GOLD CHOC 24X300G",2016-10-10,506,2018-03-13,519,"Fresh"
"29136",10343544,"ANL GOLD PLAIN 24X300G",2016-10-10,0.875,2018-02-23,501,"Fresh"
"29138",10343544,"ANL GOLD PLAIN 24X300G",2016-10-10,405,2018-03-06,512,"Fresh"
"29139",10343544,"ANL GOLD PLAIN 24X300G",2016-10-10,1598,2018-03-20,526,"Fresh"
"29140",10343544,"ANL GOLD PLAIN 24X300G",2016-10-10,262,2018-03-29,535,"Fresh"
"29141",10343544,"ANL GOLD PLAIN 24X300G",2016-10-10,611,2018-03-30,536,"Fresh"
"29161",10351199,"ANM CHOC 4X3 800G SUYSING",2016-10-10,4,2017-08-18,312,"Fresh"
"29162",10351199,"ANM CHOC 4X3 800G SUYSING",2016-10-10,6,2018-01-16,463,"Fresh"
"29163",10351199,"ANM CHOC 4X3 800G SUYSING",2016-10-10,2,2018-03-14,520,"Fresh"
"29167",10351200,"ANM PLAIN 4X3 800G SUYSING",2016-10-10,1,2017-08-12,306,"Fresh"
"29168",10351200,"ANM PLAIN 4X3 800G SUYSING",2016-10-10,3,2017-09-09,334,"Fresh"
"29169",10351200,"ANM PLAIN 4X3 800G SUYSING",2016-10-10,4,2018-01-17,464,"Fresh"
"29170",10351200,"ANM PLAIN 4X3 800G SUYSING",2016-10-10,2,2018-02-28,506,"Fresh"
"29174",10354033,"ANM PLAIN 6X4X180G SUYSING",2016-10-10,7,2018-02-25,503,"Fresh"
"29179",10354037,"ANM CHOC 6X4X180G SUYSING",2016-10-10,1,2018-01-28,475,"Fresh"
"29180",10354037,"ANM CHOC 6X4X180G SUYSING",2016-10-10,10,2018-02-24,502,"Fresh"
