"","SKU","Description","Date","Quantity","Expiration.Date","Days.To.Expiry","Status"
"366",1065315,"ANLENE GOLD 12X990G SUP",2016-09-01,1855,2018-02-12,529,"Fresh"
"367",1065315,"ANLENE GOLD 12X990G SUP",2016-09-01,320,2018-02-13,530,"Fresh"
"413",1065316,"ANLENE GOLD 24X180G SUP",2016-09-01,452,2018-02-11,528,"Fresh"
"414",1065316,"ANLENE GOLD 24X180G SUP",2016-09-01,901,2018-02-12,529,"Fresh"
"415",1065316,"ANLENE GOLD 24X180G SUP",2016-09-01,1998,2018-02-13,530,"Fresh"
"416",1065316,"ANLENE GOLD 24X180G SUP",2016-09-01,1092,2018-02-14,531,"Fresh"
"417",1065316,"ANLENE GOLD 24X180G SUP",2016-09-01,226,2018-02-16,533,"Fresh"
"418",1065316,"ANLENE GOLD 24X180G SUP",2016-09-01,907,2018-02-17,534,"Fresh"
"468",1065317,"ANLENE GOLD CHOC 12X980G SUP",2016-09-01,738,2018-02-03,520,"Fresh"
"469",1065317,"ANLENE GOLD CHOC 12X980G SUP",2016-09-01,1083,2018-02-04,521,"Fresh"
"485",1065318,"ANLENE GOLD CHOC 24X175G SUP",2016-09-01,342,2018-01-06,492,"Fresh"
"486",1065318,"ANLENE GOLD CHOC 24X175G SUP",2016-09-01,211,2018-02-04,521,"Fresh"
"487",1065318,"ANLENE GOLD CHOC 24X175G SUP",2016-09-01,875,2018-02-05,522,"Fresh"
"488",1065318,"ANLENE GOLD CHOC 24X175G SUP",2016-09-01,1081,2018-02-06,523,"Fresh"
"503",10332315,"ANC FAMILY MILK 12X655G",2016-09-01,1,2017-04-20,231,"Fresh"
"505",10333064,"ANC FAMILY MILK 24X300G",2016-09-01,42,2017-04-06,217,"Fresh"
"512",10333759,"ANC UHT FRESH 1L AT P70 SRP",2016-09-01,2,2017-03-13,193,"Fresh"
"513",10333759,"ANC UHT FRESH 1L AT P70 SRP",2016-09-01,417,2017-04-02,213,"Fresh"
"545",10337661,"ANLENE GOLD CHOC 24X175G AT P99",2016-09-01,1,2018-01-05,491,"Fresh"
"546",10337666,"ANLENE GOLD CHOC 24X385G AT P209",2016-09-01,3,2017-12-21,476,"Fresh"
"547",10337667,"ANLENE GOLD PLAIN 24X180G AT P99",2016-09-01,5,2017-12-20,475,"Fresh"
"549",10338963,"ANM MP CHOC 12X800G AT P678",2016-09-01,1,2018-01-01,487,"Fresh"
"550",10338964,"ANM MP CHOC 24X375G AT P324",2016-09-01,2,2018-01-01,487,"Fresh"
"551",10338965,"ANM MP CHOC 24X180G P159",2016-09-01,1,2018-01-01,487,"Fresh"
"552",10338966,"ANM MP PLAIN 12X800G AT P678",2016-09-01,1,2018-01-17,503,"Fresh"
"553",10338967,"ANM MP PLAIN 24X375G AT P 324",2016-09-01,15,2018-01-02,488,"Fresh"
"554",10339070,"ANM MP MANG 24X180G AT P159",2016-09-01,7,2017-12-05,460,"Fresh"
"556",10339071,"ANM MP MANG 24X375G AT P 324",2016-09-01,1,2017-12-05,460,"Fresh"
"561",10341116,"ANC FAMILY MILK 24X300G+35G",2016-09-01,802,2018-01-19,505,"Fresh"
"562",10341116,"ANC FAMILY MILK 24X300G+35G",2016-09-01,589,2018-02-01,518,"Fresh"
"563",10341116,"ANC FAMILY MILK 24X300G+35G",2016-09-01,906,2018-02-02,519,"Fresh"
"575",10341311,"ANC FAMILY MILK 32X140G+10G",2016-09-01,564,2017-10-20,414,"Fresh"
"576",10341311,"ANC FAMILY MILK 32X140G+10G",2016-09-01,792,2017-10-30,424,"Fresh"
"584",10341429,"ANC FAMILY MILK 12X900G+100G",2016-09-01,790,2018-01-19,505,"Fresh"
"585",10341429,"ANC FAMILY MILK 12X900G+100G",2016-09-01,317,2018-01-20,506,"Fresh"
"586",10341429,"ANC FAMILY MILK 12X900G+100G",2016-09-01,469,2018-01-29,515,"Fresh"
"587",10341429,"ANC FAMILY MILK 12X900G+100G",2016-09-01,1027,2018-01-30,516,"Fresh"
"588",10341429,"ANC FAMILY MILK 12X900G+100G",2016-09-01,156,2018-02-01,518,"Fresh"
